employee_id,skill
0,Typescript
0,AWS
0,React
0,Angular
1,Microsoft Power BI
1,AWS
2,Python
2,Java
2,relational databases
3,Kotlin
3,React Native
3,Android
3,Flutter
3,Xamarin
4,NoSQL databases
4,relational databases
4,Microsoft Azure
5,HTML/CSS
5,Google Cloud
5,AWS
5,Angular
6,Java
6,PyRestTest
6,Spock
6,JUNIT
6,Postman
7,Typescript
7,AWS
7,Javascript
7,HTML/CSS
8,Python
8,Java
8,Postman
8,JUNIT
9,Google Cloud
9,Java
9,AWS
10,Google Cloud
10,relational databases
10,AWS
11,Microsoft Azure
11,React
11,HTML/CSS
11,Google Cloud
11,Javascript
11,Angular
12,Python
12,NoSQL databases
12,Scala
13,Docker Compose
13,Google Cloud
13,Microsoft Azure
13,Terraform
14,Typescript
14,Javascript
14,Angular
15,JUNIT
15,Java
15,Postman
15,Spock
16,React Native
16,Flutter
16,Android
16,Xamarin
17,Google Cloud
17,Microsoft Power BI
17,Tableau
18,SQL
18,Microsoft Power BI
18,Tableau
19,Google Cloud
19,Firebase
19,Microsoft Power BI
19,Microsoft Azure
20,AWS
20,Java
20,relational databases
21,Microsoft Power BI
21,Microsoft Azure
21,Tableau
22,AWS
22,Kubernetes
22,Docker
22,Puppet
22,Terraform
23,React Native
23,Flutter
23,IOS
24,Firebase
24,Microsoft Power BI
24,AWS
24,Tableau
25,NoSQL databases
25,Google Cloud
25,Python
25,Scala
25,relational databases
26,Microsoft Azure
26,HTML/CSS
26,Google Cloud
26,Javascript
26,Angular
27,Typescript
27,React
27,HTML/CSS
27,Google Cloud
27,Javascript
27,Angular
28,AWS
28,SQL
28,Google Cloud
28,Python
28,Spark
29,IOS
29,Xamarin
29,Flutter
30,PyRestTest
30,Spock
31,Python
31,Java
31,relational databases
31,Microsoft Azure
32,Kotlin
32,Xamarin
32,Android
32,IOS
33,Google Cloud
33,HTML/CSS
33,AWS
33,Angular
34,Python
34,PyRestTest
34,Postman
34,Spock
35,Java
35,relational databases
35,Microsoft Azure
36,Google Cloud
36,Docker
36,Chef
36,Terraform
37,Microsoft Azure
37,Kubernetes
37,Docker
37,Docker Compose
37,Terraform
38,JUNIT
38,Python
38,Postman
39,Google Cloud
39,Microsoft Power BI
39,AWS
40,Flutter
40,IOS
41,AWS
41,Microsoft Azure
41,Angular
42,Postman
42,PyRestTest
42,Spock
43,AWS
43,Microsoft Azure
43,Typescript
43,React
43,HTML/CSS
44,Google Cloud
44,relational databases
45,Python
45,AWS
45,relational databases
45,Microsoft Azure
46,SQL
46,Google Cloud
46,Java
46,Python
47,Python
47,PyRestTest
47,Spock
48,Kubernetes
48,Chef
48,Microsoft Azure
49,Microsoft Azure
49,Angular
50,AWS
50,Google Cloud
50,Java
50,Python
50,relational databases
51,AWS
51,SQL
51,Firebase
51,Google Cloud
51,Microsoft Power BI
52,Python
52,Google Cloud
52,relational databases
52,AWS
53,Python
53,Google Cloud
53,Java
53,Microsoft Azure
54,Postman
54,Spock
55,Chef
55,Microsoft Azure
55,Kubernetes
55,Puppet
55,Docker Compose
56,AWS
56,Microsoft Azure
56,SQL
56,Firebase
56,Microsoft Power BI
56,Tableau
57,SQL
57,Firebase
57,Microsoft Power BI
57,Tableau
58,Google Cloud
58,Terraform
58,Puppet
59,HTML/CSS
59,Javascript
59,React
60,Kotlin
60,React Native
60,Flutter
60,IOS
61,Google Cloud
61,HTML/CSS
61,Javascript
61,Angular
62,Python
62,Java
62,PyRestTest
63,Kotlin
63,React Native
63,Xamarin
64,Python
64,Google Cloud
64,Hadoop
64,Microsoft Azure
65,AWS
65,Microsoft Azure
65,SQL
65,Firebase
65,Microsoft Power BI
65,Tableau
66,Google Cloud
66,Microsoft Power BI
66,Microsoft Azure
67,AWS
67,Microsoft Power BI
67,Microsoft Azure
68,Google Cloud
68,Java
68,relational databases
68,Microsoft Azure
69,SQL
69,Google Cloud
69,AWS
69,Microsoft Power BI
70,HTML/CSS
70,Microsoft Azure
70,React
70,AWS
71,Docker Compose
71,Kubernetes
71,Chef
71,Microsoft Azure
72,Typescript
72,React
72,HTML/CSS
72,Google Cloud
72,Angular
73,Python
73,PyRestTest
73,Postman
